index	original	translation	scores	mean	z_scores	z_mean	model_scores	AE
22	I./KG 54 operated against the British beachheads with Butterfly Bombs and mined the Orne and Vire estuaries on 7/8 June 1944.	I. / KG 54 用蝴蝶炸弹攻击英国的海头 ， 并于 1944 年 6 月 7 日 / 8 日在奥恩和瓦雷河口埋设了地雷。	[70, 85, 59, 75, 50, 60]	66.5	[0.003779100077620162, 0.3355302180042023, -0.18292541643109445, 0.36607664033155607, -0.3577494733264714, -0.17511280410352223]	-0.0017336225746182553	-0.4907500743865967	0.8193259770704076
23	Aaron and Robert share a kiss while a delighted Liv overhears.	亚伦和罗伯特分享了一个吻, 而一个愉快的利夫听到了.	[73, 66, 70, 85, 75, 70]	73.16666666666667	[0.1483296780465919, -0.7214275561120982, 0.38364964045894967, 0.7794780777281071, 0.910244791937072, 0.33844466841431897]	0.30645321674549025	-0.740784227848053	0.530735195064499
24	The NE4314 Gatekeepers defeat NE133 by impaling him with their swords, forming a NE8108 pointed star.	NE2196个守门员用刀子击打他, 击败了混乱, 形成了一个NE2196角星.	[69, 60, 51, 35, 40, 55]	51.66666666666666	[-0.044404425912037075, -1.0552036953067194, -0.5949800032602174, -1.2875291092546481, -0.8649471794318887, -0.4318915403624428]	-0.7131593255879922	-0.8181764483451843	1.397469866999565
25	Ash tampers with Justin's bike so he will not win.	用贾斯汀的自行车擦伤了他 ， 所以他不会赢的。	[79, 69, 88]	78.66666666666667	[0.6619343882180614, -0.10019575228173622, 1.0128492529905975]	0.5248626296423076	-0.9364264607429504	0.37714644349661064
26	The NE1747 appears in NE3464, voiced by NE8576.	NE8242出现在NE3510行动中 ， NE2389表达了这一观点。	[29, 42, 55, 65, 70, 80]	56.83333333333334	[-1.9717454654983266, -2.056532112890583, -0.38895270984565594, -0.04732479706499497, 0.6566459388843633, 0.8520021409321601]	-0.4926511675805061	-0.7182172536849976	1.5148611839246218
27	The pupa or chrysalis, unlike that of moths, is not wrapped in a cocoon.	木偶或菊花与苍蝇不同, 不被包裹在椰子里.	[73, 68, 62]	67.66666666666667	[0.11716701976919658, 0.05210266206801503, -1.13967495076023]	-0.3234684229743395	-0.9945302605628968	0.9848705866545331
28	However Carla manages to untie herself and escapes, although Tony walks into the inferno and kills himself.	然而卡拉却设法解开了束缚 ， 逃走了 ， 尽管托尼走进了地狱 ， 自杀了。	[70, 87, 70, 65, 75, 85]	75.33333333333333	[0.003779100077620162, 0.4467889310690761, 0.38364964045894967, -0.04732479706499497, 0.910244791937072, 1.1087808771910808]	0.4676530906114673	-0.6629123687744141	0.671896009643087
29	Viviparity and ovoviviparity have evolved in many extinct clades of reptiles and in squamates.	在许多灭绝的爬行动物和鱿鱼群中 ， 生物和生物已经进化。	[22, 32, 41]	31.66666666666667	[-1.5275793559929194, -2.1108013937528645, -1.2550708683761065]	-1.6311505393739634	-0.8284616470336914	2.4383193357080533
30	A military coup overthrew Allende on 11 September 1973.	1973 年 9 月 11 日的军事政变推翻了阿连德。	[78, 80, 100]	86.0	[0.3888704848328626, 0.7123818949705395, 1.7315581633397117]	0.9442701810477048	-0.2344527989625931	0.5044193470905176
31	Equatorial Guinea lies between latitudes 4°N and 2°S, and longitudes 5° and 12°E.	赤道几内亚位于北纬 4 度至南纬 2 度之间, 东经 5 度至 12 度之间。	[83, 93, 90]	88.66666666666669	[0.6605739498965285, 1.2478760665263304, 1.2168569624953205]	1.0417689929727263	-0.3672794699668884	0.08128069678851202
32	In July 2018, Farage headlined a fundraiser for Lou Barletta, the Republican nominee in the 2018 United States Senate election in Pennsylvania.	2018 年 7 月 ， 法拉奇为 2018 年宾夕法尼亚州美国参议院选举的共和党候选人卢 · 巴莱塔 （ Lou Barletta ） 担任了筹款人。	[80, 68, 77]	75.0	[0.7123818949705395, -0.15453644529446942, 0.5856136125332766]	0.3811530207364489	-0.4349327981472016	0.6597991072010849
33	Rafter hips are often amplified by poor muscling along thighs and lower hips.	在大腿和下臀部的肌肉不足往往会放大蜂窝.	[66, 55, 61, 65, 40, 50]	56.16666666666666	[-0.1889550038810088, -1.3333504779689038, -0.07991176972381368, -0.04732479706499497, -0.8649471794318887, -0.6886702766213634]	-0.5338599174486622	-1.2098239660263062	1.2021327306023757
34	"Blur released two singles ""The Puritan"" and ""Under the Westway"" on 2 July."	"7 月 2 日 ， 布莱尔发行了两个单曲 ""清教徒"" 和 ""西路下"" 。"	[57, 71, 84]	70.66666666666667	[-0.21547967374488147, 0.008485633743730183, 0.9141719219804518]	0.23572596065976684	-0.4792508780956268	0.6581967790307455
35	"The ""UK Radio Edit"" replaces guitars with synths and electronic beats."	英国无线电编辑 用合成声和电子击打代替吉他。	[70, 93, 70, 85, 75, 75]	78.0	[0.003779100077620162, 0.7805650702636973, 0.38364964045894967, 0.7794780777281071, 0.910244791937072, 0.5952234046732395]	0.5754900141897811	-0.5696243047714233	0.29599649036441666
36	"The album spawned two singles, ""The Celestials"" and ""Panopticon""."	"这张专辑产生了两个单曲 ， ""凯尔特人"" 和 ""全景"" 。"	[85, 64, 70]	73.0	[0.7692553359219949, -0.3218666470643547, -0.37277687316635744]	0.024870605230427598	-0.5778990983963013	0.8709929115442091
37	It stayed in East Prussia resting and replenishing until 21 January 1942.	它一直在东普鲁士休息和补充 ， 直到 1942 年 1 月 21 日。	[100, 81, 82]	87.66666666666669	[1.396528507302708, 0.5518925638710621, 0.8132769084754957]	0.9205659932164221	-0.4653210639953613	0.09108723802225072
38	This insubordination earned him a now famous reprimand from the NE7470.	这种不服从命令的态度使他赢得了国王现在著名的训斥.	[57, 64, 50]	57.0	[-0.7522840684345345, -0.15167342001592293, -0.7733545298809725]	-0.5591040061104767	-0.6240912079811096	1.581463320314462
39	Cicero transliterated the Greek word into the Latin átheos.	西塞罗把希腊语译成拉丁语.	[92, 67, 80, 90, 70, 80]	79.83333333333333	[1.0638166718500794, -0.6657981995796614, 0.8987178739953534, 0.9861787964263826, 0.6566459388843633, 0.8520021409321601]	0.6319272037514462	-0.4777980744838714	0.5512988427666431
40	We also find this motif on the neck of a volute krater attributed to the painter of NE3340 and preserved in NE6915.	我们还在一个被认为是NE4640人的画家并保存在NE7065的一个大克拉特人的脖子上发现了这一运动。	[44, 46, 42]	44.0	[-1.458713077600066, -1.0028333346137162, -1.0483244553692188]	-1.1699569558610003	-0.8705645203590393	1.8383054639806096
41	After the Conquest, the Spanish reorganized the pre Hispanic neighborhoods or capullis around various patron saints.	征服后 ， 西班牙人围绕各种守护神重新组织了西班牙裔以前的社区或议会。	[86, 70, 72]	76.0	[0.8235960289347282, -0.37277687316635744, -0.38765141691747695]	0.021055912950297927	-0.7956951260566711	0.9265382662331363
42	All NE4049 of the artillerymen recorded as wounded died).	据记录 ， 所有 NE9662 名炮兵都受伤了) 。	[66, 71, 60, 45, 50, 50]	57.0	[-0.1889550038810088, -0.44328077344991385, -0.13141859307745407, -0.874127671858097, -0.3577494733264714, -0.6886702766213634]	-0.44736696536905146	-0.7980974912643433	1.4198176216197158
43	On July 30, Montgomery and the 17th Foot stormed and captured the fort.	7 月 30 日 ， 蒙哥马利和第 17 英尺冲进并占领了要塞。	[68, 88, 78, 75, 50, 50]	68.16666666666667	[-0.09258795190169432, 0.502418287601513, 0.7957042272880727, 0.36607664033155607, -0.3577494733264714, -0.6886702766213634]	0.08753190889526875	-0.3920187950134277	0.8890385124401876
44	The Alkhalifa conquered and expelled the Persians from Bahrain after defeating them.	Alkhalifa 在击败了波斯人之后 ， 征服了他们并将他们逐出巴林。	[88, 93, 70, 95, 80, 75]	83.5	[0.8710825678914504, 0.7805650702636973, 0.38364964045894967, 1.192879515124658, 1.1638436449897807, 0.5952234046732395]	0.8312073072336293	-0.6132134795188904	0.411568045029859
45	After fruitlessly chasing the NE2577 towards NE7361, NE3268 ordered his warships to retire without bombarding NE5067.	在徒劳无功地追赶NE6283向NE165前进之后 ， NE3868命令他的军舰退役而不轰炸NE7679。	[60, 55, 49]	54.66666666666666	[-0.2965682400790226, -0.860965454460001, -0.820359892588119]	-0.6592978623757142	-0.4907847940921784	1.641673688199813
46	In south and central Arabia, Bedouin Arab tribes occasionally raided the Sassanid empire.	在阿拉伯南部和中部 ， 贝都因人的阿拉伯部落偶尔袭击萨萨尼德帝国。	[99, 73, 84]	85.33333333333333	[1.3590399449527641, 0.11716701976919658, 0.9141719219804518]	0.7967929622341375	-0.5090433359146118	0.38163158903520855
47	Due to extensive taxation, the peasants often rebelled against their lords.	由于课税太多, 农民经常反抗他们的主人.	[85, 85, 81]	83.66666666666667	[0.7692553359219949, 0.9646194287329299, 0.7143749288408134]	0.8160832311652461	-0.7777613401412964	0.3214773547276969
48	From 2003 to 2005, the Sounds switched to solid jerseys and pants.	从 2003 年到 2005 年, 声音变成了坚固的运动衫和裤子.	[69, 85, 77, 45, 50, 60]	64.33333333333333	[-0.044404425912037075, 0.3355302180042023, 0.7441974039344323, -0.874127671858097, -0.3577494733264714, -0.17511280410352223]	-0.0619444588769155	-0.5848671197891235	0.8517543835345688
49	Also same as in NE596, they are offering NE284 patty for vegans in wraps, sallad or as a burger.	和NE2553的情况一样 ， 他们用包装、礼仪或汉堡给素食者赠送麦维根馅饼。	[57, 48, 65, 65, 45, 60]	56.66666666666666	[-0.622606737787924, -1.722755973695962, 0.1261155236907478, -0.04732479706499497, -0.61134832637918, -0.17511280410352223]	-0.5088388525568059	-0.7922253012657166	1.3179648772678592
50	NE6126 marksmen would often pick off NE3982 soldiers from NE5938 away.	划船手经常从几百码以外的地方挑选NE1002士兵.	[51, 42, 32, 55, 35, 50]	44.16666666666666	[-0.9117078937258674, -2.056532112890583, -1.5736096469793845, -0.460726234461546, -1.1185460324845975, -0.6886702766213634]	-1.1349653661938903	-0.9216413497924804	1.94637051307532
51	Instead of satiation Hitler then seized the rest of Czechoslovakia in March 1939 and menaced Poland.	希特勒后来在 1939 年 3 月非但没有满足捷克斯洛伐克的其他地区 ， 反而对波兰进行了威胁。	[78, 74, 82]	78.0	[0.5717801356039413, 0.17150771278192978, 0.8132769084754957]	0.5188549189537889	-0.5614373087882996	0.6143477860319974
52	They also eat crabs, pork, chicken, beef and the meat of squirrels.	他们还吃蟹、猪肉、鸡、牛肉和松鼠肉。	[83, 100, 100]	94.33333333333331	[0.6605739498965285, 1.7213320300201016, 1.7315581633397117]	1.3711547144187808	-0.2719987630844116	0.383740894124604
53	On NE22, the destroyer sortied from NE4066 with NE3581 and shaped a course back to NE8441.	NE8861 ， 这艘驱逐舰从NE323与 NE6476 进行了分类 ， 确定了返回 NE6121 的路线。	[68, 66, 45]	59.66666666666666	[-0.15453644529446942, -0.7562259119632937, -0.9045374233670329]	-0.605099926874932	-0.5623341798782349	1.4167128545358616
54	Isabel kidnaps Atticus, steals the serum in Dan's bag, and escapes.	伊莎贝尔绑架了阿蒂库斯 ， 偷了丹包里的血清 ， 然后逃跑了。	[100, 94, 97, 95, 70, 90]	91.0	[1.4492848797673374, 0.8361944267961341, 1.7743338710072398, 1.192879515124658, 0.6566459388843633, 1.3655596134500012]	1.2124830408382892	-0.4904423952102661	0.1589484316100016
55	NE26 concluded in NE2990 with NE7955, in which NE5572 returns to NE4557.	超人的死亡 于 NE8296与《NE1240》第 505 号结尾 ， 其中超人返回大都市。	[60, 68, 52]	60.0	[-0.589261989396335, 0.10701181394080223, -0.7630016662677369]	-0.4150839472410899	-0.4381413459777832	1.241982122927301
56	The 2009 Florida Gators softball team has 7 seniors, 2 juniors, 7 sophomores, and 4 freshmen.	2009 年佛罗里达州 Gers 垒球队有 7 名高年级学生、 2 名青年学生、 7 名二年级学生和 4 名新生。	[70, 49, 76, 65, 70, 85]	69.16666666666667	[0.003779100077620162, -1.6671266171635248, 0.6926905805807919, -0.04732479706499497, 0.6566459388843633, 1.1087808771910808]	0.12457418041755605	-0.4907884299755096	0.8622598506717651
57	The NE9368 got a touchdown early in NE6282.	红皮队一季度早些时候就被击落了.	[81, 64, 54]	66.33333333333333	[0.5518925638710621, -0.9479504313617617, -0.47317632736047466]	-0.2897447316170581	-1.0586037635803225	1.0719489288032353
58	The Quran inspired musicality in poetry through the internal rhythm of the verses.	古兰经通过诗歌的内在节奏激发了诗歌的音乐性.	[90, 100, 80, 65, 75, 85]	82.5	[0.9674496198707649, 1.1699705659907553, 0.8987178739953534, -0.04732479706499497, 0.910244791937072, 1.1087808771910808]	0.8346398219866719	-0.5713807344436646	0.27583651552492594
59	NE960 accuses them of treason and plotting against the kingdom.	NE6696指责他们叛国罪和阴谋反对王国.	[78, 49, 67]	64.66666666666667	[0.3888704848328626, -0.820359892588119, 0.04466471850824752]	-0.1289415630823363	-0.5480172634124756	1.3821561640469375
60	Mukti Bahini naval commandos drowned several Pakistani warships during Operation Jackpot in August 1971.	Mukti Bahini 海军突击队在 1971 年 8 月的杰克布行动中淹死了几艘巴基斯坦军舰。	[76, 80, 72]	76.0	[0.49680301090405343, 0.49755187085832897, 0.30880184095071467]	0.43438557423769897	-0.3714569509029389	0.652789931868837
61	She also defeated Caroline at Sydney International, Pan Pacific Open in Tokyo, and also tournaments in Doha, Wuhan and Beijing.	她还在悉尼国际、东京泛太平洋公开赛以及多哈、武汉和北京的比赛中击败了卡罗琳。	[75, 88, 91]	84.66666666666667	[0.22584840579466298, 1.0128492529905975, 1.3429420641683172]	0.8605465743178593	-0.3283995985984802	0.4492292831228306
62	The militsiya arrive, where NE8256 recognises the same militsiya sheriff from NE3264.	军方人员抵达时 ， NE8736 NE6970起就承认了同样的军方警长。	[51, 50, 80, 25, 35, 50]	48.5	[-0.9117078937258674, -1.611497260631088, 0.8987178739953534, -1.700930546651199, -1.1185460324845975, -0.6886702766213634]	-0.8554390226864603	-0.8335987329483032	1.8142341549388759
63	NE7761 then accidentally hit the referee, knocking him out in the storyline.	NE9992不经意地撞到裁判员, 把他击倒在故事情节中.	[47, 45, 42]	44.66666666666666	[-0.9523858278612379, -1.4043723845873328, -1.1493974315381452]	-1.1687185479955722	-0.752948522567749	2.091399288698998
64	He built the first parish kirk a year later and provided land for the kirk, minster's manse, and garden.	一年后 ， 他建造了第一个教区的教堂 ， 并为教堂、水泥屋和花园提供了土地。	[79, 72, 65]	72.0	[0.44321117784559577, 0.255878744151953, -0.04433070631663208]	0.21825307189363893	-0.8601652979850769	0.8476788702603292
65	"Critics criticized the manga for using ""cliché"" characterizations typical of the harem genre."	"批评者批评曼加使用了典型的 ""陈词滥调"" 。"	[86, 95, 76, 40, 40, 50]	64.5	[0.7747155159121359, 0.891823783328571, 0.6926905805807919, -1.0808283905563725, -0.8649471794318887, -0.6886702766213634]	-0.04586932779802089	-0.7279022336006165	0.9643392031938808
66	Handbook of American Indians U. S. Bureau of American ethnology.	《美国印第安人手册》 ， 美国民族事务局。	[100, 93, 80, 95, 70, 95]	88.83333333333331	[1.4492848797673374, 0.7805650702636973, 0.8987178739953534, 1.192879515124658, 0.6566459388843633, 1.6223383497089219]	1.100071937957389	-0.6734194755554199	0.029418189476059897
67	The teenage NE4927 saves NE9979 from a chance encounter with kryptonite.	NE1557的NE6016拯救了超级男孩 ， 避免了与加密岩的偶然接触。	[52, 50, 30, 75, 60, 75]	57.0	[-0.8635243677362101, -1.611497260631088, -1.6766232936866652, 0.36607664033155607, 0.14944823277894595, 0.5952234046732395]	-0.5068161073783702	-0.7802707552909851	1.4458575161690295
68	The antechamber of NE9225 is decorated with stucco reliefs of cherubs, masks, birds, and weapons by NE483 and NE464.	圣殿的前锤子被NE6191 · NE339和NE500装饰成了樱桃、面具、鸟类和武器的小饰品。	[37, 42, 31]	36.66666666666666	[-1.8390979286891984, -1.2046233616236284, -1.8328260972084112]	-1.6255157958404125	-0.7933880090713501	2.4690607779962437
69	NE6767 suddenly appears and tries to run him through, triggering the unsheathing of his mutant claws.	NE3164突然出现 ， 试图把他赶走 ， 引发了他突变的爪子的解开。	[51, 75, 52, 75, 50, 60]	60.5	[-0.9117078937258674, -0.22076334732016636, -0.5434731799065771, 0.36607664033155607, -0.3577494733264714, -0.17511280410352223]	-0.3071216763418414	-0.91632878780365	1.2258382260361103
70	NE3150 competes on both the NE6343 and the elite series of the NE300.	NE5904在 NE6181 和 PBR 的精英系列上都有竞争.	[53, 64, 42]	53.0	[-0.9696468404854673, -0.15167342001592293, -1.1493974315381452]	-0.7569058973465118	-0.738178014755249	1.570262852236744
71	James Miller farmed here previously, dying on 3 April 1813.	詹姆斯米勒以前在这里耕种, 1813 年 4 月 3 日死亡.	[94, 81, 80, 95, 70, 85]	84.16666666666667	[1.160183723829394, 0.11301279187445486, 0.8987178739953534, 1.192879515124658, 0.6566459388843633, 1.1087808771910808]	0.8550367868165507	-0.4404478073120117	0.3480404546960123
72	Dishes include congee, cha siu bao, siu yuk, egg tarts, and mango pudding.	鱼包括椰子、茶叶、茶叶、蛋粉和芒果布丁.	[10, 20, 30, 25, 30, 45]	26.66666666666667	[-2.8872324593018144, -3.280377956604194, -1.6766232936866652, -1.700930546651199, -1.372144885537306, -0.9454490128802839]	-1.977126359110244	-0.9113841056823729	2.8717777103945905
73	"The critic Alain Cochard writes that it ""casts a spell on the ear through the subtlety of a harmony tinged with the modal and its melodic freshness."""	"评论家阿兰 · 科查德 （ Alain Cochard ） 写道 ， 它 ""通过带有模态和旋律新鲜感的微妙的和谐 ， 给耳朵留下了咒语"" 。"	[72, 93, 83]	82.66666666666667	[0.06282632675646338, 1.3257031750926274, 1.0532383440562745]	0.8139226153017884	-0.6902309060096741	0.04318251139149598
74	He devoured popular novels, classics, plays, and biographies.	他喜欢流行的小说、经典著作、戏剧和传记.	[77, 81, 88]	82.0	[0.3345297918201294, 0.8209069606591999, 1.3527438014198556]	0.8360601846330615	-0.5655890107154846	0.4268824556734394
75	The fleet of Venice, commanded by Doge Ordelafo Faliero, invaded Dalmatia in August 1115.	由 Doge Ordelafo Faliero 指挥的威尼斯舰队于 11 月 15 日入侵 Dalmatia 。	[66, 72, 85]	74.33333333333333	[-0.2632178313199358, 0.26076344967625226, 0.9181510109247515]	0.30523220976035603	-0.2457885444164276	0.8332916801583691
76	Sharapova pulled out of the Dubai Tennis Championships due to citing a forearm strain.	沙拉波娃因前臂紧张而退出了迪拜网球锦标赛.	[83, 80, 76]	79.66666666666667	[0.6605739498965285, 0.663430908319829, 0.2023966850290469]	0.5088005144151347	-0.4420419633388519	0.5133157390692157
77	Disguised NE5372.	虚构的符号主义作为NE3937绘画中的积极的符号主义 。	[54, 59, 50, 55, 35, 35]	48.0	[-0.7671573157568957, -1.1108330518391563, -0.6464868266138578, -0.460726234461546, -1.1185460324845975, -1.459006485398125]	-0.9271259910923628	-0.6796562671661377	1.8925108646157158
78	They squared off in the NE5173's palace over a billiard table.	他们在NE6255的台球台上平整下来.	[59, 44, 52, 45, 50, 50]	50.0	[-0.5262396858086095, -1.9452733998257092, -0.5434731799065771, -0.874127671858097, -0.3577494733264714, -0.6886702766213634]	-0.8225889478911378	-0.7848029732704163	1.6883668538301622
79	NE9311 NE9563 takes place in NE6339.	查理NE471的葬礼 Frolics 在 NE7435举行.	[52, 47, 56, 25, 35, 45]	43.33333333333334	[-0.8635243677362101, -1.7783853302283987, -0.33744588649201557, -1.700930546651199, -1.1185460324845975, -0.9454490128802839]	-1.124046862745451	-0.565594494342804	1.9905665032749096
80	The nonconformist churches, however, were less influenced by revivalism.	然而 ， 不符合规定的教会受复兴主义的影响较小。	[66, 80, 73]	73.0	[0.12191738740461401, 0.49755187085832897, 0.3592493477031927]	0.32623953532204525	-0.6497812271118164	0.8452782306860416
81	He admits to the kiss and Susan slaps him; she then throws him out.	他承认接吻了, 苏珊打了他一巴掌, 然后把他扔出去.	[91, 88, 65, 95, 70, 85]	82.33333333333333	[1.0156331458604222, 0.502418287601513, 0.1261155236907478, 1.192879515124658, 0.6566459388843633, 1.1087808771910808]	0.7670788813921309	-0.6667996644973755	0.3242174358351576
82	Companies D and I returned to NE3259 on NE4997 with NE7744 of the noncombatants, who were interned in the quartermaster's corral.	NE1302 ， D 连和我带着 NE5311 名非战斗人员返回 NE9661 ， 他们被关押在军需官的后部。	[75, 80, 67, 60, 45, 50]	62.83333333333334	[0.24469673002590636, 0.05738343534201798, 0.22912917039802855, -0.2540255157632705, -0.61134832637918, -0.6886702766213634]	-0.17047246383297684	-0.6449057459831238	1.0780814429413161
83	The four ventricles, two lateral, a third, and a fourth ventricle, all contain choroid plexus that produces cerebrospinal fluid.	四个心室 ， 两个侧室、第三个心室和第四个心室 ， 都含有产生脑脊液的脉络丛。	[91, 96, 85, 95, 90, 95]	92.0	[1.0156331458604222, 0.9474531398610079, 1.1562519907635553, 1.192879515124658, 1.671041351095198, 1.6223383497089219]	1.2675995820689607	-0.49648955464363104	0.5889555125515912
